-20.000000: a: -0.000167, b: -0.000000, amp: 0.000167, phase: -180.000000
-19.950000: a: -0.000167, b: 0.000223, amp: 0.000278, phase: 126.834355
-19.900000: a: -0.000167, b: 0.000834, amp: 0.000851, phase: 101.296150
-19.850000: a: -0.000167, b: 0.001823, amp: 0.001831, phase: 95.222404
-19.800000: a: -0.000167, b: 0.003168, amp: 0.003173, phase: 93.011279
-19.750000: a: -0.000167, b: 0.004838, amp: 0.004841, phase: 91.972868
-19.700000: a: -0.000167, b: 0.006795, amp: 0.006797, phase: 91.404989
-19.650000: a: -0.000167, b: 0.008993, amp: 0.008995, phase: 91.061702
-19.600000: a: -0.000167, b: 0.011380, amp: 0.011382, phase: 90.839049
-19.550000: a: -0.000167, b: 0.013899, amp: 0.013900, phase: 90.686996
-19.500000: a: -0.000167, b: 0.016490, amp: 0.016491, phase: 90.579068
-19.450000: a: -0.000167, b: 0.019090, amp: 0.019091, phase: 90.500205
-19.400000: a: -0.000167, b: 0.021637, amp: 0.021637, phase: 90.441342
-19.350000: a: -0.000167, b: 0.024067, amp: 0.024067, phase: 90.396776
-19.300000: a: -0.000167, b: 0.026322, amp: 0.026322, phase: 90.362786
-19.250000: a: -0.000167, b: 0.028346, amp: 0.028346, phase: 90.336881
-19.200000: a: -0.000167, b: 0.030089, amp: 0.030089, phase: 90.317365
-19.150000: a: -0.000167, b: 0.031508, amp: 0.031508, phase: 90.303074
-19.100000: a: -0.000167, b: 0.032567, amp: 0.032567, phase: 90.293220
-19.050000: a: -0.000167, b: 0.033239, amp: 0.033239, phase: 90.287292
-19.000000: a: -0.000167, b: 0.033506, amp: 0.033507, phase: 90.284998
-18.950000: a: -0.000167, b: 0.033362, amp: 0.033362, phase: 90.286232
-18.900000: a: -0.000167, b: 0.032808, amp: 0.032808, phase: 90.291065
-18.850000: a: -0.000167, b: 0.031857, amp: 0.031857, phase: 90.299755
-18.800000: a: -0.000167, b: 0.030531, amp: 0.030532, phase: 90.312769
-18.750000: a: -0.000167, b: 0.028863, amp: 0.028863, phase: 90.330847
-18.700000: a: -0.000167, b: 0.026892, amp: 0.026893, phase: 90.355089
-18.650000: a: -0.000167, b: 0.024668, amp: 0.024668, phase: 90.387114
-18.600000: a: -0.000167, b: 0.022243, amp: 0.022244, phase: 90.429304
-18.550000: a: -0.000167, b: 0.019679, amp: 0.019680, phase: 90.485234
-18.500000: a: -0.000167, b: 0.017039, amp: 0.017040, phase: 90.560411
